CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
14865,3,BIO 111L-26,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1230-1520,SULV 140,.ENV,0,24,24,M
14866,3,BIO 111L-27,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1500-1750,SULV 138,.ENV,1,24,23,M
14867,3,BIO 111L-28,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1530-1820,SULV 140,.ENV,1,24,23,M
14868,3,BIO 111L-29,Princpls of Biology I Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,1800-2050,SULV 138,.ENV,18,24,6,M
11414,3,BIO 112-02,Principles of Biology II,4,LEC,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SULV 101,.ENV.GLS.GNS,42,225,183,M
11415,"3,14,37",BIO 112-03,Principles of Biology II,4,LEC,John J. Lepri,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,SULV 103,.ENV.GLS.GNS.HSS,12,24,12,M
16439,3,BIO 112-04,Principles of Biology II,4,LEC,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,T R,0800-0915,SULV 200,.ENV.GLS.GNS,20,95,75,M
11416,3,BIO 112L-01,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,0930-1220,SULV 114,,14,24,10,M
11417,3,BIO 112L-02,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1200-1450,SULV 124,,-1,24,25,M
11430,3,BIO 112L-03,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1230-1520,SULV 114,,0,24,24,M
11418,3,BIO 112L-04,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1500-1750,SULV 124,,4,24,20,M
11419,3,BIO 112L-05,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M,1530-1820,SULV 114,,10,24,14,M
11421,3,BIO 112L-06,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,0930-1220,SULV 114,,0,24,24,M
11422,3,BIO 112L-07,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1230-1520,SULV 114,,1,24,23,M
11423,3,BIO 112L-08,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1530-1820,SULV 114,,-1,24,25,M
11424,3,BIO 112L-09,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T,1830-2120,SULV 114,,17,24,7,M
11429,3,BIO 112L-10,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,W,0900-1150,SULV 114,,16,24,8,M
11425,3,BIO 112L-11,Princpls of Biology II Lab,0,LAB,Iglika V. Pavlova,08-JAN-2018 to 25-APR-2018,W,1500-1750,SULV 124,,10,24,14,M
11426,3,BIO 112L-12,Princpls of Biology II Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,R,0930-1220,SULV 124,,2,24,22,M
11427,3,BIO 112L-13,Princpls of Biology II Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,R,0900-1150,SULV 114,,7,24,17,M
