CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
14731,"1,8,14,37,159",HIS 492-03,Honors Work: European History,3,IND,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,.HSS,1,1,0,M
14732,"1,8,14,37,159",HIS 493-13,Honors Work: World History,3,IND,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,,.HSS,1,1,0,M
10395,"1,3",HIS 511A-01,Sem His Rch Wrtng,3,SEM,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,M,1830-2120,MHRA 1211,.SI.WI,3,20,17,M
16117,"1,3",HIS 511C-01,Seminar in His Resrch / Wrtng,3,SEM,Linda M. Rupert,08-JAN-2018 to 25-APR-2018,T,1530-1820,MHRA 1209,.SI.WI,9,20,11,M
17342,108,HIS 514-01Z,Cypr Med Meditrn Island Monmnt,3,SEM,Derek Krueger,01-MAR-2018 to 30-APR-2018,,,,,-3,0,3,Z
17342,,,,,,Alexander A. Eger,,,,,,,,,
16119,,HIS 524-01,Tpcs: US-Middle East Relations,3,SEM,David M. Wight,08-JAN-2018 to 25-APR-2018,T,1530-1820,MHRA 1206,,2,25,23,M
16120,,HIS 542-01,Tpcs: Emotions in Middle Ages,3,SEM,Richard E. Barton,08-JAN-2018 to 25-APR-2018,T R,1530-1645,MHRA 2209,,0,25,25,M
16121,"9,26",HIS 568-01,Afrcn Histry/Cultres Thru Film,3,LEC,Colleen Kriger,08-JAN-2018 to 25-APR-2018,R,1600-1850,MHRA 1208,.WGS,-1,15,16,M
13727,"26,85",HIS 624-01,Hist Amer Landspe and Arch,3,LEC,Jo R. Leimenstoll,08-JAN-2018 to 25-APR-2018,W,1400-1650,STAC 303,,-2,2,4,M
10400,"26,85",HIS 626-01,The Practice of Public History,3,SEM,Anne E. Parsons,08-JAN-2018 to 25-APR-2018,M,1830-2120,MHRA 3207,,0,10,10,M
15551,,HIS 631-01,Digital History,3,SEM,Anne M. Whisnant,08-JAN-2018 to 25-APR-2018,T,1530-1820,MHRA 2208,,3,15,12,M
10401,"1,3,85,374",HIS 690-01,Internship,3,INT,Anne E. Parsons,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
12351,"1,8",HIS 692-08,Advanced Topics in History,3,IND,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
12352,"1,8,99,159",HIS 697-08,Directed Reading,1,IND,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
17157,"1,8,159",HIS 697-18,Directed Reading,1,IND,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,,,1,3,2,M
17320,"1,8,159",HIS 697-22,Directed Reading,1,IND,Peter B. Villella,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
10402,159,HIS 699-01,Thesis,1,DTS,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
10403,8,HIS 702-01,Colloquium in American History,3,COL,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,M,1830-2120,MHRA 1304,,5,12,7,M
13934,8,HIS 702-02,Colloquium in American History,3,COL,David M. Wight,08-JAN-2018 to 25-APR-2018,R,1530-1820,MHRA 1304,,-1,13,14,M
16123,8,HIS 704-03,Seminar in History,3,SEM,Richard E. Barton,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
13732,8,HIS 704-04,Seminar in History,3,SEM,Jill C. Bender,08-JAN-2018 to 25-APR-2018,,,,,0,2,2,M
12353,8,HIS 704-06,Seminar in History,3,SEM,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
16125,8,HIS 704-08,Seminar in History,3,SEM,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
12354,8,HIS 704-11,Seminar in History,3,SEM,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,,,0,3,3,M
16126,8,HIS 704-12,Seminar in History,3,SEM,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,,,0,1,1,M
10404,8,HIS 709-01,Introductory Research Seminar,3,SEM,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,T,1530-1820,MHRA 3208,,0,10,10,M
14771,8,HIS 709-02,Introductory Research Seminar,3,SEM,Linda M. Rupert,08-JAN-2018 to 25-APR-2018,R,1830-2120,MHRA 1206,,2,10,8,M
16128,8,HIS 712-01,Slavery in the Americas,3,LEC,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,W,1530-1820,MHRA 2208,,10,15,5,M
12721,,HIS 716-01,Grad Collqm World History,3,COL,Jodi E. Bilinkoff,08-JAN-2018 to 25-APR-2018,M,1530-1820,MHRA 3204,,5,15,10,M
13396,,HIS 721-01,Public History Capstone II,3,PRC,Anne E. Parsons,08-JAN-2018 to 25-APR-2018,M,1530-1820,MHRA 3207,,0,10,10,M
16122,8,HIS 740-01,Tpcs: Readings in Soviet Hist,3,SEM,Jeff W. Jones,08-JAN-2018 to 25-APR-2018,T,1830-2120,MHRA 3204,,8,15,7,M
12356,1,HIS 750-06,Ph.D. Readings Course,3,IND,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12357,1,HIS 750-08,Ph.D. Readings Course,3,IND,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12358,1,HIS 750-11,Ph.D. Readings Course,3,IND,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12359,1,HIS 750-12,Ph.D. Readings Course,3,IND,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,,,1,2,1,M
12360,1,HIS 750-15,Ph.D. Readings Course,3,IND,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
12361,1,HIS 750-18,Ph.D. Readings Course,3,IND,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,,,2,2,0,M
