
CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
10519,30,PHI 111-01,Introduction to Philosophy,3,WEB,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,,.GPR,0,59,59,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13612,,PHI 361-06,Ethical Issues in Business,3,LEC,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SOEB 222,.GN.GPR.SUS,0,60,60,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16374,30,PHI 361-07,Ethical Issues in Business,3,WEB,Christopher M. Metivier,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,-1,59,60,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17316,"29,30,141",PHI 361-07D,Ethical Issues in Business,3,WEB,Christopher M. Metivier,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,-1,0,1,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14066,30,PHI 361-08,Ethical Issues in Business,3,WEB,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.IGS.SUS,1,56,55,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15804,"29,30,141",PHI 361-08D,Ethical Issues in Business,3,WEB,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.IGS.SUS,-5,0,5,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16376,30,PHI 361-09,Ethical Issues in Business,3,WEB,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,0,57,57,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17327,"29,30,141",PHI 361-09D,Ethical Issues in Business,3,WEB,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,,.GN.GPR.SUS,-3,0,3,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12747,"29,30,105",PHI 361-81D,Ethical Issues in Business,3,WEB,Wade M. Maki,09-DEC-2017 to 18-JAN-2018,,,,.GN.GPR.SUS,0,60,60,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16966,"29,30,105",PHI 361-82D,Ethical Issues in Business,3,WEB,Michael B. Matteson,09-DEC-2017 to 18-JAN-2018,,,,.GN.GPR.SUS,3,60,57,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16197,,PHI 363-01,Environmental Ethics,3,LEC,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 309,.ENV.SUS,0,40,40,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
11725,"1,3,159",PHI 402-01,Independent Study,1,IND,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,M W,1400-1515,,,0,1,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10539,"3,10",PHI 494-01,Senior Capstone: Phil of Mind,3,LEC,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 247,.SI.WI,10,19,9,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14448,"3,10,29,30,141",PHI 494-01D,Senior Capstone Course,3,WEB,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,,.SI.WI,-6,0,6,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10540,13,PHI 620-01,Ethics and Genetics,3,LEC,Heather J. Gert,08-JAN-2018 to 25-APR-2018,R,1300-1550,CURY 212,,17,25,8,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
*Campus,Description
C,Continual Learning/iSchool
D,Distance Learning/Off-Campus
F,Fast Forward
G,Greensboro Main
I,Consortium/Special Exams
L,Interlink
M,Main Campus
O,Online
S,Site Off-Campus
X,107 Extension Non-Fundable
Z,DCL - Custom Non-Fundable
