CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
16782,,ENG 101-01,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13973,"1,43,168",ENG 101-01N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 331,.GRD,3,18,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14690,168,ENG 101-02,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15100,"1,43,168",ENG 101-02N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 331,.GRD,7,18,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12697,168,ENG 101-03,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 106,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10359,168,ENG 101-04,College Writing I,3,LEC,Kathleen P. Naymon,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,COLE 319,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10360,168,ENG 101-05,College Writing I,3,LEC,Bailey M. Maple,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2208,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10361,168,ENG 101-06,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 121,.GRD,-1,22,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14711,168,ENG 101-33,College Writing I,3,LEC,Ross M. Garrison,08-JAN-2018 to 25-APR-2018,T R,1230-1345,SOEB 108,.GRD,0,17,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13546,168,ENG 101-34,College Writing I,3,LEC,Katelyn J. Wilkinson,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 1208,.GRD,0,17,17,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13549,168,ENG 101-35,College Writing I,3,LEC,Kristin J. Yates,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13792,168,ENG 101-36,College Writing I,3,LEC,Hannah E. Edwards,08-JAN-2018 to 25-APR-2018,T R,1230-1345,MHRA 2206,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13793,168,ENG 101-37,College Writing I,3,LEC,David M. Hough,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 1213,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13801,168,ENG 101-38,College Writing I,3,LEC,Eileen M. Totter,08-JAN-2018 to 25-APR-2018,T R,1530-1645,BRYN 213,.GRD,9,22,13,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13945,"30,168",ENG 101-39,College Writing I,3,WEB,Kristine N. Lee,08-JAN-2018 to 25-APR-2018,,,,.GRD,1,20,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13947,"30,168",ENG 101-40,College Writing I,3,WEB,Kristine N. Lee,08-JAN-2018 to 25-APR-2018,,,,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13949,"30,168",ENG 101-41,College Writing I,3,WEB,Marc R. Keith,08-JAN-2018 to 25-APR-2018,,,,.GRD,2,20,18,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13950,"30,168",ENG 101-42,College Writing I,3,WEB,Bryan T. McMillan,08-JAN-2018 to 25-APR-2018,,,,.GRD,0,19,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16995,"29,30,141",ENG 101-42D,College Writing I,3,WEB,Bryan T. McMillan,08-JAN-2018 to 25-APR-2018,,,,.GRD,0,0,0,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13952,"30,168",ENG 101-43,College Writing I,3,WEB,Alicia K. Beeson,08-JAN-2018 to 25-APR-2018,,,,.GRD,0,21,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16996,"29,30,141",ENG 101-43D,College Writing I,3,WEB,Alicia K. Beeson,08-JAN-2018 to 25-APR-2018,,,,.GRD,0,0,0,D
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10383,"3,168",ENG 102-01,College Writing II,3,LEC,Jesse L. Gay,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,SOEB 217,.GRD.SI,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10385,"3,168",ENG 102-03,College Writing II,3,LEC,Emily M. Hall,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2206,.GRD.SI,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14735,"3,168",ENG 102-04,College Writing II,3,LEC,Emily M. Hall,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2206,.GRD.SI,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14736,"3,168",ENG 102-05,College Writing II,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2204,.GRD.SI,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14737,"3,168",ENG 102-06,College Writing II,3,LEC,Michael R. Bedsole,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 202,.GRD.SI,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14739,"3,168",ENG 102-07,College Writing II,3,LEC,Richard J. Warren,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2206,.GRD.SI,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15794,"3,168",ENG 102-08,College Writing II,3,LEC,Kayla M. Forrest,08-JAN-2018 to 25-APR-2018,M W F,1300-1350,MHRA 2208,.GRD.SI,3,22,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15795,"3,168",ENG 102-09,College Writing II,3,LEC,Matthew C. Armstrong,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,COLE 319,.GRD.SI,3,22,19,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16799,"3,168",ENG 102-10,College Writing II,3,LEC,Carl P. Schlachte,08-JAN-2018 to 25-APR-2018,T R,0800-0915,MHRA 2204,.GRD.SI,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16800,"3,168",ENG 102-11,College Writing II,3,LEC,Gianina M. Coturri Sorenson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,MHRA 2208,.GRD.SI,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16801,"3,168",ENG 102-12,College Writing II,3,LEC,Kristie L. Ellison,08-JAN-2018 to 25-APR-2018,T R,1230-1345,BRYN 106,.GRD.SI,-1,22,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16802,"3,168,334",ENG 102-13,College Writing II for Arts,3,LEC,Matthew C. Carter,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,SOEB 108,.GRD.SI,11,22,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16803,"3,168,334",ENG 102-14,College Writing II for Arts,3,LEC,Matthew C. Carter,08-JAN-2018 to 25-APR-2018,M W F,1200-1250,MHRA 2204,.GRD.SI,8,22,14,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13964,3,ENG 103-01,Essentls of Prof / Bus Writing,3,LEC,Bonnie T. Yarbrough,08-JAN-2018 to 25-APR-2018,T R,1730-1845,MHRA 2209,.GRD.SI.WI,-2,22,24,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10386,,ENG 104-01,Approach to Literature,3,LEC,Kellyn P. Luna,08-JAN-2018 to 25-APR-2018,M W F,1400-1450,SOEB 108,.GLT,1,36,35,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10387,,ENG 104-02,Approach to Literature,3,LEC,Kellyn P. Luna,08-JAN-2018 to 25-APR-2018,M W F,1500-1550,SOEB 108,.GLT,1,36,35,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10388,,ENG 104-03,Approach to Literature,3,LEC,Michelle S. Reed,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SOEB 106,.GLT,0,36,36,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
