CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
16782,,ENG 101-01,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13973,"1,43,168",ENG 101-01N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1400-1515,CURY 331,.GRD,3,18,15,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14690,168,ENG 101-02,College Writing I,3,LEC,Lauren B. Shook,08-JAN-2018 to 25-APR-2018,M W F,0900-0950,MHRA 2208,.GRD,1,22,21,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15100,"1,43,168",ENG 101-02N,College Writing I,3,LEC,Kathryn J. Kehoe,08-JAN-2018 to 25-APR-2018,M W,1530-1645,CURY 331,.GRD,7,18,11,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12697,168,ENG 101-03,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,BRYN 106,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10359,168,ENG 101-04,College Writing I,3,LEC,Kathleen P. Naymon,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,COLE 319,.GRD,2,22,20,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10360,168,ENG 101-05,College Writing I,3,LEC,Bailey M. Maple,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,MHRA 2208,.GRD,0,22,22,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10361,168,ENG 101-06,College Writing I,3,LEC,Timothy L. Huffman,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,BRYN 121,.GRD,-1,22,23,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13803,"3,374",ENG 680-22,Teaching Internship in English,3,INT,Amy N. Vines,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14395,"3,374",ENG 680-23,Teaching Internship in English,3,INI,Michael F. Parker,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15711,"3,374",ENG 680-25,Teaching Internship in English,3,INI,Emilia A. Phillips,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17086,"3,374",ENG 680-26,Teaching Internship in English,3,INT,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13606,,ENG 682-01,Structure of Verse,3,SEM,Stuart Dischell,08-JAN-2018 to 25-APR-2018,W,1400-1650,MHRA 3207,,5,15,10,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10448,3,ENG 688-01,Women's Rhet / Fem Pedagogy,3,SEM,Heather B. Adams,08-JAN-2018 to 25-APR-2018,M,1530-1820,MHRA 2206,.WGS,1,15,14,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16710,,ENG 691-01,His of Rhetoric: Enlight-Cont,3,LEC,Stephen R. Yarbrough,08-JAN-2018 to 25-APR-2018,W,1830-2120,MHRA 3207,,5,15,10,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17173,159,ENG 699-01,Thesis,1,DTS,Jennifer Feather,08-JAN-2018 to 25-APR-2018,,,,,3,5,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17253,159,ENG 699-02,Thesis,1,DTS,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12793,159,ENG 699-03,Thesis,1,DTS,Stuart Dischell,08-JAN-2018 to 25-APR-2018,,,,,4,10,6,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12794,159,ENG 699-04,Thesis,1,DTS,Holly G. Jones,08-JAN-2018 to 25-APR-2018,,,,,7,10,3,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12795,159,ENG 699-05,Thesis,1,DTS,Craig Nova,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12796,159,ENG 699-06,Thesis,1,DTS,Michael F. Parker,08-JAN-2018 to 25-APR-2018,,,,,7,10,3,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17473,159,ENG 699-07,Thesis,1,DTS,Mark Rifkin,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12797,159,ENG 699-08,Thesis,1,DTS,Christopher T. Hodgkins,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13266,159,ENG 699-09,Thesis,1,DTS,Anne D. Wallace,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13736,159,ENG 699-10,Thesis,1,DTS,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13737,159,ENG 699-11,Thesis,1,DTS,Karen L. Kilcup,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13738,159,ENG 699-12,Thesis,1,DTS,Amy N. Vines,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14442,159,ENG 699-14,Thesis,1,DTS,Brian S. Romine,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14543,159,ENG 699-15,Thesis,1,DTS,Jeanie M. Reynolds,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15601,159,ENG 699-16,Thesis,1,DTS,Ben Clarke,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15602,159,ENG 699-17,Thesis,1,DTS,Stephen R. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15617,159,ENG 699-18,Thesis,1,DTS,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17134,159,ENG 699-19,Thesis,1,DTS,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,,,,,3,5,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16711,,ENG 719-01,Studies in British Romanticism,3,LEC,Anne D. Wallace,08-JAN-2018 to 25-APR-2018,R,1530-1820,MHRA 2208,,5,15,10,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16708,,ENG 735-01,Studies in African Amer Lit,3,LEC,Sallyann H. Ferguson,08-JAN-2018 to 25-APR-2018,W,1530-1820,MHRA 1204,,12,15,3,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16706,,ENG 737-01,Studies in Multi-Ethnic Am Lit,3,LEC,Mark Rifkin,08-JAN-2018 to 25-APR-2018,T,1530-1820,MHRA 1208,.WGS,8,15,7,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10352,"1,3,11,99,159",ENG 778-01,Directed Reading,3,IND,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10353,"1,3,11,99,159",ENG 778-02,Directed Reading,3,IND,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12760,"1,3,11,99,159",ENG 778-03,Directed Reading,3,IND,Christopher T. Hodgkins,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12761,"1,3,11,99,159",ENG 778-04,Directed Reading,3,IND,Anthony J. Cuda,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13184,"1,3,11,99,159",ENG 778-05,Directed Reading,3,IND,Anne D. Wallace,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13185,"1,3,11,99,159",ENG 778-06,Directed Reading,3,IND,Denise N. Baker,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13249,"1,3,11,99,159",ENG 778-07,Directed Reading,3,IND,Ben Clarke,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17174,"1,3,11,99,159",ENG 778-08,Directed Reading,3,IND,Mark Rifkin,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14310,"1,3,11,99,159",ENG 778-09,Directed Reading,3,IND,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,,,,,3,5,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17485,"1,3,11,99,159",ENG 778-10,Directed Reading,3,IND,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15712,"1,3,11,99,159",ENG 778-11,Directed Reading,3,IND,Amy N. Vines,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17184,"1,11,99,159",ENG 780-01,Independent Doctoral Study,1,IND,Brian S. Romine,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13186,"1,11,99,159",ENG 780-03,Independent Doctoral Study,1,IND,Stephen R. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13207,"1,11,99,159",ENG 780-04,Independent Doctoral Study,1,IND,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13208,"1,11,99,159",ENG 780-05,Independent Doctoral Study,1,IND,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13209,"1,11,99,159",ENG 780-06,Independent Doctoral Study,1,IND,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13210,"1,11,99,159",ENG 780-07,Independent Doctoral Study,1,IND,Christopher T. Hodgkins,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13715,"1,11,99,159",ENG 780-08,Independent Doctoral Study,1,IND,Anne D. Wallace,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13764,"1,11,99,159",ENG 780-10,Independent Doctoral Study,1,IND,Anthony J. Cuda,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14355,"1,11,99,159",ENG 780-11,Independent Doctoral Study,1,IND,Denise N. Baker,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14548,"1,11,99,159",ENG 780-12,Independent Doctoral Study,1,IND,Ben Clarke,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15557,"1,11,99,159",ENG 780-13,Independent Doctoral Study,1,IND,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17139,"1,11,99,159",ENG 780-14,Independent Doctoral Study,1,IND,Amy N. Vines,08-JAN-2018 to 25-APR-2018,,,,,4,5,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10355,159,ENG 799-01,Dissertation,1,DTS,Carine R. Applegarth,08-JAN-2018 to 25-APR-2018,,,,,8,10,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10356,159,ENG 799-02,Dissertation,1,DTS,Denise N. Baker,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12763,159,ENG 799-04,Dissertation,1,DTS,Ben Clarke,08-JAN-2018 to 25-APR-2018,,,,,7,10,3,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12764,159,ENG 799-05,Dissertation,1,DTS,Anthony J. Cuda,08-JAN-2018 to 25-APR-2018,,,,,8,10,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12766,159,ENG 799-07,Dissertation,1,DTS,Jennifer Feather,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12767,159,ENG 799-08,Dissertation,1,DTS,Sallyann H. Ferguson,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12768,159,ENG 799-09,Dissertation,1,DTS,Christopher T. Hodgkins,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12769,159,ENG 799-10,Dissertation,1,DTS,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12770,159,ENG 799-11,Dissertation,1,DTS,Karen L. Kilcup,08-JAN-2018 to 25-APR-2018,,,,,8,10,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12773,159,ENG 799-14,Dissertation,1,DTS,Cristian Moraru,08-JAN-2018 to 25-APR-2018,,,,,8,10,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12774,159,ENG 799-15,Dissertation,1,DTS,Noelle A. Morrissette,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12775,159,ENG 799-16,Dissertation,1,DTS,Nancy A. Myers,08-JAN-2018 to 25-APR-2018,,,,,7,10,3,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12776,159,ENG 799-17,Dissertation,1,DTS,Mark Rifkin,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12777,159,ENG 799-18,Dissertation,1,DTS,Brian S. Romine,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12779,159,ENG 799-20,Dissertation,1,DTS,Maria C. Sanchez,08-JAN-2018 to 25-APR-2018,,,,,9,10,1,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12780,159,ENG 799-21,Dissertation,1,DTS,Amy N. Vines,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12781,159,ENG 799-22,Dissertation,1,DTS,Anne D. Wallace,08-JAN-2018 to 25-APR-2018,,,,,8,10,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12782,159,ENG 799-23,Dissertation,1,DTS,Karen A. Weyler,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12783,159,ENG 799-24,Dissertation,1,DTS,Stephen R. Yarbrough,08-JAN-2018 to 25-APR-2018,,,,,10,10,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14418,159,ENG 801-02,Thesis Extension,1,DTS,Amy N. Vines,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14484,159,ENG 801-03,Thesis Extension,1,DTS,Jennifer M. Keith,08-JAN-2018 to 25-APR-2018,,,,,5,5,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10357,159,ENG 802-01,Dissertation Extension,1,DTS,Jennifer Feather,08-JAN-2018 to 25-APR-2018,,,,,3,5,2,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10358,159,ENG 803-01,Research Extension,1,IND,Jennifer Feather,08-JAN-2018 to 25-APR-2018,,,,,20,20,0,M
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
*Campus,Description
C,Continual Learning/iSchool
D,Distance Learning/Off-Campus
F,Fast Forward
G,Greensboro Main
I,Consortium/Special Exams
L,Interlink
M,Main Campus
O,Online
S,Site Off-Campus
X,107 Extension Non-Fundable
Z,DCL - Custom Non-Fundable
